0,1054
1,1063
2,1053
3,1053
4,1044
5,1045
6,1049
7,1048
8,1054
9,1045
10,1049
11,1046
12,1043
13,1050
14,1044
15,1035
16,1030
17,1030
18,1039
19,1038
20,1045
21,1044
22,1037
23,1042
24,1044
25,1045
26,1042
27,1047
28,1048
29,1057
30,1055
31,1064
32,1063
33,1057
34,1060
35,1064
36,1071
37,1061
38,1056
39,1051
40,1045
41,1049
42,1042
43,1046
44,1051
45,1047
46,1054
47,1049
48,1051
49,1049
50,1040
51,1050
52,1048
53,1042
54,1033
55,1024
56,1018
57,1024
58,1017
59,1013
60,1019
61,1014
62,1018
63,1012
64,1016
65,1014
66,1016
67,1008
68,998
69,991
70,992
71,992
72,983
73,978
74,987
75,990
76,999
77,989
78,998
79,997
80,987
81,983
82,987
83,981
84,972
85,977
86,980
87,977
88,971
89,972
90,963
91,958
92,966
93,971
94,976
95,972
96,973
97,965
98,972
99,970
100,962
101,962
102,962
103,962
104,966
105,956
106,965
107,965
108,967
109,968
110,968
111,968
112,960
113,965
114,958
115,958
116,960
117,957
118,957
119,965
120,960
121,950
122,958
123,958
124,966
125,952
126,954
127,948
128,948
129,946
130,944
131,946
132,936
133,928
134,928
135,920
136,921
137,928
138,929
139,929
140,920
141,929
142,932
143,932
